abandons's: abandoning,abandons
debriefing's: debriefed,debriefing
debuting's: debut,debuting
débuting's: debut,debuting
decaying's: decay,decaying
deceasing's: deceased,deceasing
deciding's: decides,deciding
decimating's: decimate,decimating
decking's: decks,decking
declaring's: declare,declaring
declining's: declined,declining
decoding's: decoded,decoding
decompressing's: decompress,decompressing
decorating's: decorate,decorating
decoying's: decoy,decoying
decreeing's: decree,decreeing
decrypting's: decrypt,decrypting
dedicating's: dedicate,dedicating
deeding's: deed,deeding
deech: deeks,dought
deeched: deeks,dought
deeches: deeks,dought
deeches': deeks,dought
deeching: deeks,dought
deechs: deeks,dought
deech's: deeks,dought
deeking's: deeks,deeking
deeming's: deems,deeming
deepening's: deepen,deepening
deetings: deets,deeting
deetings': deets,deeting
deeting's: deets,deeting
defacing's: defaced,defacing
defaming's: defamed,defaming
defeating's: defeat,defeating
defecting's: defect,defecting
defencing's: defenses,defencing
defensing's: defenses,defencing
deferring's: deferred,deferring
defining's: defined,defining
deflecting's: deflected,deflecting
defying's: defy,defying
degenerating's: degenerate,degenerating
degrading's: degrade,degrading
delaying's: delayed,delaying
deleting's: deleted,deleting
deliberating's: deliberate,deliberating
delighting's: delight,delighting
delivering's: delivers,delivering
demeaning's: demean,demeaning
demising's: demise,demising
demoing's: demo,demoing
demonstrating's: demonstrated,demonstrating
denning's: den,denning
denting's: dent,denting
denying's: denies,denying
departing's: departed,departing
depending's: depended,depending
depicting's: depict,depicting
deploring's: deplore,deploring
deploying's: deploy,deploying
deporting's: deported,deporting
depositing's: deposits,depositing
depressing's: depresses,depressing
depriving's: deprived,depriving
deranging's: deranged,deranging
deriving's: derives,deriving
derricking's: derrick,derricking
descending's: descend,descending
deserting's: deserted,deserting
deserving's: deserve,deserving
designating's: designated,designating
desiring's: desired,desiring
despairing's: despair,despairing
despatching's: dispatched,dispatching
despising's: despise,despising
destabilising's: destabilize,destabilizing
destabilizing's: destabilize,destabilizing
destining's: destined,destining
destroying's: destroys,destroying
detailing's: detailed,detailing
detaining's: detained,detaining
detecting's: detect,detecting
deteriorating's: deteriorated,deteriorating
detesting's: detested,detesting
detonating's: detonate,detonating
detouring's: detour,detouring
dets: deets,det
dets': deets,det
det's: deets,det
deucing's: deuce,deucing
devastating's: devastated,devastating
devilling's: devils,deviling
devising's: devised,devising
devoting's: devote,devoting
devouring's: devour,devouring
dewing's: dew,dewing
dexing's: dex,dexing
diagnosing's: diagnosed,diagnosing
dialing's: dialed,dialing
dialling's: dialed,dialing
dialoging's: dialogue,dialoging
dialoguing's: dialogue,dialoging
diapering's: diapers,diapering
dibbing's: dibs,dibbing
dicing's: diced,dicing
dictating's: dictate,dictating
diening's: dien,diening
diens's: dien,diens
differencing's: differences,differencing
differing's: differ,differing
digesting's: digest,digesting
diggie: diggy,diggies
diggie's: diggy,diggies
diggings: digs,digging
diggings': digs,digging
digging's: digs,digging
dight: deeks,dought
dighted: deeks,dought
dighting: deeks,dought
dights: deeks,dought
dignifying's: dignified,dignifying
digressing's: digress,digressing
diking's: dyke,diking
dilapidating's: dilapidated,dilapidating
dilating's: dilate,dilating
diluting's: dilute,diluting
dimensioning's: dimensions,dimensioning
diming's: dime,diming
diminishing's: diminishes,diminishing
dimming's: dim,dimming
dinging's: dings,dinging
dining's: dine,dining
dinozzis: dinozzo,dinozzi
dinozzis': dinozzo,dinozzi
diplomaing's: diploma,diplomaing
dipping's: dip,dipping
dirking's: dirk,dirking
dis: diss,dissed
disabled's: disable,disabled
disabling's: disable,disabling
disadvantaging's: disadvantaged,disadvantaging
disappearing's: disappears,disappearing
disappointing's: disappoint,disappointing
disapproving's: disapproves,disapproving
disarming's: disarm,disarming
disassembling's: disassemble,disassembling
discerning's: discern,discerning
discing's: disk,discing
disciplining's: disciplined,disciplining
disclosing's: disclose,disclosing
discoing's: discos,discoing
discomforting's: discomfort,discomforting
disconnecting's: disconnected,disconnecting
discounting's: discounted,discounting
discouraging's: discouraged,discouraging
disembodying's: disembodied,disembodying
disengaging's: disengaged,disengaging
disgracing's: disgraced,disgracing
disguising's: disguise,disguising
disgusting's: disgusted,disgusting
disheartening's: disheartened,disheartening
dishonoring's: dishonoured,dishonoring
dishonouring's: dishonoured,dishonoring
discharging's: discharges,discharging
disinteresting's: disinterested,disinteresting
disking's: disk,discing
disliking's: dislike,disliking
dislodging's: dislodged,dislodging
dismantling's: dismantled,dismantling
dismaying's: dismayed,dismaying
dismissing's: dismiss,dismissing
disobeying's: disobey,disobeying
disordering's: disorder,disordering
dispatching's: dispatched,dispatching
dispensing's: dispensed,dispensing
dispersing's: disperse,dispersing
displacing's: displace,displacing
displaying's: displayed,displaying
displeasing's: displease,displeasing
disposing's: dispose,disposing
disregarding's: disregard,disregarding
disrespecting's: disrespect,disrespecting
disrupting's: disrupt,disrupting
dissecting's: dissected,dissecting
dissing's: diss,dissing
dissipating's: dissipate,dissipating
dissolving's: dissolve,dissolving
distancing's: distances,distancing
distasting's: distaste,distasting
distending's: distended,distending
distinguishing's: distinguish,distinguishing
distorting's: distorts,distorting
distressing's: distressed,distressing
distributing's: distribute,distributing
disturbing's: disturbs,disturbing
ditching's: ditched,ditching
divatoxing's: divatox,divatoxing
diversifying's: diversify,diversifying
diverting's: divert,diverting
dividing's: divided,dividing
divorcing's: divorces,divorcing
dizzying's: dizzy,dizzying
doctoring's: doctored,doctoring
documenting's: documented,documenting
dodging's: dodge,dodging
dogging's: dog,dogging
dolling's: dolls,dolling
dollying's: dolly,dollying
dominating's: dominate,dominating
doming's: domes,doming
donating's: donated,donating
dondes's: donde,dondes
donging's: dongs,donging
donkeying's: donkey,donkeying
dooming's: doomed,dooming
doot: deets,deet's
dooted: deets,deet's
dooting: deets,deet's
doots: deets,deet's
doots': deets,deet's
doot's: deets,deet's
doping's: doped,doping
dores's: dor,dores
dose: dos,doses
dosed: dos,doses
dose's: dos,doses
dosing: dos,doses
dosing's: dos,doses,dosing
dottearing's: dottore,dottearing
dotting's: dot,dotting
dottor: dottore,dottored
dottorings: dottore,dottoring
dottorings': dottore,dottoring
dottoring's: dottore,dottoring
dottoris: dottore,dottores
dottorises: dottore,dottores
dottorises': dottore,dottores
dottoris's: dottore,dottores
dottorns: dottore,dottorn
dottorns': dottore,dottorn
dottorn's: dottore,dottorn
dottors: dottore,dottored
dottors': dottore,dottored
dottor's: dottore,dottored
doublings: doubled,doubling
doublings': doubled,doubling
doubling's: doubled,doubling
doubting's: doubted,doubting
dougey: dougie,dougies
dougeyed: dougie,dougies
dougeying: dougie,dougies
dougeying's: dougie,dougies,dougeying
dougeys: dougie,dougies
dougeys': dougie,dougies
dougey's: dougie,dougies
doughts: deeks,dought
doughts': deeks,dought
dought's: deeks,dought
dougi: dougie,dougied
dougies's: dougie,dougies
dougi's: dougie,dougied
dougying's: dougie,dougying
douching's: douche,douching
doves: diving,dove
doves': diving,dove
dove's: diving,dove
downing's: downs,downing
downloading's: downloaded,downloading
dozing's: doze,dozing
drafting's: drafted,drafting
dragooning's: dragoons,dragooning
draining's: drained,draining
draught: drafted,draft
draughts: drafted,draft
draughts': drafted,draft
draught's: drafted,draft
drazening's: drazen,drazening
dreading's: dread,dreading
dreaming's: dreamt,dreaming
drenching's: drenched,drenching
dres's: dre,dres
drew's: draws,drew
drifting's: drifted,drifting
drinking's: drink,drinking
drippings: dripped,dripping
drippings': dripped,dripping
dripping's: dripped,dripping
driving's: drive,driving
droning's: drones,droning
drooping's: droop,drooping
droving's: droves,droving
drugging's: drugged,drugging
druggy: druggie,druggies
druggy's: druggie,druggies
dubbings: dub,dubbing
dubbings': dub,dubbing
dubbing's: dub,dubbing
ducking's: ducks,ducking
ducting's: duct,ducting
duding's: dudes,duding
dueling's: duel,duelling
duelling's: duel,duelling
dugs: digs,dug
dugs': digs,dug
dug's: digs,dug
duchesse: duchess,duchessed
duchessing's: duchess,duchessing
dulling's: dulled,dulling
dumas's: duma,dumas
dummying's: dummy,dummying
dumping's: dumps,dumping
dunging's: dung,dunging
dunking's: dunk,dunking
duplexing's: duplex,duplexing
duplicating's: duplicate,duplicating
dusking's: dusk,dusking
dustings: dust,dusting
dustings': dust,dusting
dusting's: dust,dusting
dwarfing's: dwarf,dwarfing
dying's: die,dying
dyking's: dyke,diking
dynamics's: dynamic,dynamics
dynamiting's: dynamite,dynamiting
eagling's: eagles,eagling
earning's: earns,earning
earthforcing's: earthforce,earthforcing
easies: speakeasy,speak-easies
easing's: eases,easing
eastern: northeastern,north-eastern
easy: easygoing,easy-going
easy's: speakeasy,speak-easy's
eating's: eat,eating
eats': eat,eats
eavesdropping's: eavesdrop,eavesdropping
eclipsing's: eclipse,eclipsing
eddying's: eddy,eddying
edgings: edges,edging
edgings': edges,edging
edging's: edges,edging
editing's: edit,editing
educating's: educate,educating
echoing's: echoes,echoing
eining's: eins,eining
eiroying's: eiroy,eiroying
elaborating's: elaborate,elaborating
elapsing's: elapsed,elapsing
elbowing's: elbows,elbowing
electing's: elected,electing
electrifying's: electrified,electrifying
eleing's: ele,eleing
eles's: ele,eles
elevating's: elevated,elevating
eliciting's: elicit,eliciting
eliminating's: eliminate,eliminating
elloe: ello,elloes
elloe's: ello,elloes
elloing's: ello,elloing
ellos's: ello,ellos
eloping's: elope,eloping
eluding's: eludes,eluding
elvishing's: elvish,elvishing
emailing's: emails,emailing
e-mailing's: emails,emailing
embarassing's: embarassed,embarassing
embarrassing's: embarrasses,embarrassing
embedding's: embedded,embedding
embellishing's: embellish,embellishing
embracing's: embraced,embracing
embroidering's: embroider,embroidering
embroiling's: embroiled,embroiling
emerging's: emerged,emerging
emphasising's: emphasise,emphasising
emphasizing's: emphasise,emphasising
employing's: employed,employing
empowering's: empower,empowering
emptying's: emptied,emptying
emss: em,ems
emss': em,ems
ems's: em,ems
enabling's: enable,enabling
encircling's: encircled,encircling
encoring's: encore,encoring
encountering's: encounters,encountering
encouraging's: encourage,encouraging
encrypting's: encrypted,encrypting
END OF FILE: jan,jan.'s
endangering's: endangered,endangering
endeavoring's: endeavours,endeavoring
endeavouring's: endeavours,endeavoring
endings: end,ending
endings': end,ending
ending's: end,ending
enduring's: endured,enduring
energising's: energized,energizing
energizing's: energized,energizing
enflaming's: inflame,enflaming
enforcing's: enforce,enforcing
engraining's: ingrained,engraining
engraved's: engrave,engraved
engravings: engrave,engraving
engravings': engrave,engraving
engraving's: engrave,engraving
engulfing's: engulf,engulfing
enhancing's: enhance,enhancing
enchanting's: enchanted,enchanting
enjoying's: enjoys,enjoying
enlightening's: enlighten,enlightening
enlisting's: enlisted,enlisting
enquiring's: inquire,enquiring
ensuring's: ensure,ensuring
entering's: enters,entering
entertaining's: entertained,entertaining
enthralling's: enthralled,enthralling
enticing's: enticed,enticing
entitling's: entitles,entitling
entrusting's: entrusted,entrusting
equalling's: equals,equaling
equating's: equate,equating
equipping's: equip,equipping
erasing's: erases,erasing
eroding's: erode,eroding
erring's: err,erring
erupting's: erupted,erupting
escalating's: escalated,escalating
escalloping's: scallops,escalloping
escaping's: escapes,escaping
escorting's: escorted,escorting
essaying's: essay,essaying
establishing's: establish,establishing
esteeming's: esteemed,esteeming
estes's: este,estes
estimating's: estimate,estimating
estoing's: esto,estoing
estoses: esto,estos
estoses': esto,estos
estos's: esto,estos
etoe: eto,etoes
etoe's: eto,etoes
etoing's: eto,etoing
etos's: eto,etos
ettearing's: ettore,ettearing
etti: etty,etties
ettis: etty,etties
ettis': etty,etties
etti's: etty,etties
ettor: ettore,ettored
ettorings: ettore,ettoring
ettorings': ettore,ettoring
ettoring's: ettore,ettoring
ettoris: ettore,ettores
ettorises: ettore,ettores
ettorises': ettore,ettores
ettoris's: ettore,ettores
ettorns: ettore,ettorn
ettorns': ettore,ettorn
ettorn's: ettore,ettorn
ettors: ettore,ettored
ettors': ettore,ettored
ettor's: ettore,ettored
ettying's: etty,ettying
evacuating's: evacuated,evacuating
evaluating's: evaluated,evaluating
everyponying's: everypony,everyponying
evoking's: evokes,evoking
evolving's: evolve,evolving
exaggerating's: exaggerate,exaggerating
exampling's: examples,exampling
exasperating's: exasperated,exasperating
excessing's: excess,excessing
excising's: excise,excising
exciting's: excites,exciting
exclaiming's: exclaims,exclaiming
excluding's: excluded,excluding
excusing's: excused,excusing
executing's: execute,executing
exempting's: exempted,exempting
exerting's: exerted,exerting
exhaling's: exhale,exhaling
exhibiting's: exhibit,exhibiting
exhilarating's: exhilarated,exhilarating
exchanging's: exchanged,exchanging
exiling's: exiled,exiling
exiting's: exits,exiting
expanding's: expanded,expanding
expecting's: expects,expecting
expediting's: expedited,expediting
expelling's: expel,expelling
expending's: expend,expending
expensing's: expenses,expensing
experiencing's: experiences,experiencing
expiring's: expired,expiring
exploding's: explodes,exploding
exploiting's: exploited,exploiting
exploring's: explore,exploring
exporting's: export,exporting
exposé: exposing,expose
exposés: exposing,expose
exposés': exposing,expose
exposé's: exposing,expose
expunging's: expunged,expunging
extended's: extend,extended
extending's: extend,extending
exterminating's: exterminate,exterminating
extracting's: extracts,extracting
extraditing's: extradited,extraditing
extrapolating's: extrapolate,extrapolating
exuding's: exude,exuding
eyeballing's: eyeballs,eyeballing
eyeing's: eyed,eyeing
eying: eyed,eyeing
faceting's: facets,faceting
facetted: facets,faceted
facings: faced,facing
facings': faced,facing
facing's: faced,facing
factorings: factors,factoring
factorings': factors,factoring
factoring's: factors,factoring
fading's: faded,fading
fadoing's: fado,fadoing
fadoses: fado,fados
fadoses': fado,fados
fados's: fado,fados
fagging's: fags,fagging
faggotings: faggot,faggoting
faggotings': faggot,faggoting
faggoting's: faggot,faggoting
fainting's: fainted,fainting
fallings: fall,falling
fallings': fall,falling
falling's: fall,falling
fallowing's: fallow,fallowing
falsifying's: falsified,falsifying
faltering's: falter,faltering
familiarising's: familiarize,familiarising
familiarizing's: familiarize,familiarising
fancying's: fancied,fancying
fanging's: fangs,fanging
fantasying's: fantasies,fantasying
farcing's: farce,farcing
faring's: fared,faring
farming's: farms,farming
farting's: farts,farting
fascinating's: fascinated,fascinating
fashioning's: fashioned,fashioning
fastenings: fasten,fastening
fastenings': fasten,fastening
fastening's: fasten,fastening
fasting's: fasted,fasting
fatiguing's: fatigue,fatiguing
faulting's: faults,faulting
favoring's: favours,favoring
favouring's: favours,favoring
faxing's: faxes,faxing
faying's: fay,faying
feastings: feasted,feasting
feastings': feasted,feasting
feasting's: feasted,feasting
featherings: feathers,feathering
featherings': feathers,feathering
feathering's: feathers,feathering
featuring's: feature,featuring
fedes's: fede,fedes
fedings: fede,feding
fedings': fede,feding
feding's: fede,feding
fedore: fedor,fedores
fedored: fedor,fedores
fedore's: fedor,fedores
fedoring: fedor,fedores
feedings: feeds,feeding
feedings': feeds,feeding
feeding's: feeds,feeding
feeing's: fees,feeing
feeline: feelin,feelined
feelines: feelin,feelined
feelines': feelin,feelined
feeline's: feelin,feelined
feelings: feel,feeling
feelings': feel,feeling
feeling's: feel,feeling
feelining's: feelin,feelining
feenie: feeny,feenies
feenie's: feeny,feenies
felis's: feli,felis
fellowshipping's: fellowship,fellowshipping
felted: feel,felt
felting: feel,felt
felts: feel,felt
felts': feel,felt
felt's: feel,felt
fencings: fences,fencing
fencings': fences,fencing
fencing's: fences,fencing
ferrying's: ferries,ferrying
festering's: fester,festering
fetching's: fetches,fetching
feuding's: feud,feuding
fianceeing's: fiancee,fianceeing
fiancing's: fiance,fiancing
fiddling's: fiddle,fiddling
fidgeting's: fidget,fidgeting
fighting's: fight,fighting
fikrete: fikret,fikreted
fikretes: fikret,fikreted
fikretes': fikret,fikreted
fikrete's: fikret,fikreted
fikretia: fikret,fikreted
fikretia's: fikret,fikreted
fikreting's: fikret,fikreting
fikrets's: fikret,fikrets
fikretta: fikret,fikretted,fikrette
fikrettas: fikret,fikretted,fikrette
fikrettas': fikret,fikretted,fikrette
fikretta's: fikret,fikretted,fikrette
fikrette: fikret,fikretted
fikrettes: fikret,fikretted
fikrettes': fikret,fikretted
fikrette's: fikret,fikretted
fikretting's: fikret,fikretting
file: filings,filing
filed: filings,filing
files: filings,filing
files': filings,filing
file's: filings,filing
filming's: filmed,filming
filtering's: filter,filtering
financings: finances,financing
financings': finances,financing
financing's: finances,financing
fingerings: fingered,fingering
fingerings': fingered,fingering
fingering's: fingered,fingering
fingerprinting's: fingerprinted,fingerprinting
finishing's: finishes,finishing
finning's: fin,finning
firewalling's: firewalls,firewalling
firings: fire,firing
firings': fire,firing
firing's: fire,firing
firming's: firms,firming
fishing's: fishes,fishing
fissuring's: fissures,fissuring
fisting's: fists,fisting
fittings: fitted,fitting
fittings': fitted,fitting
fitting's: fitted,fitting
fixings: fix,fixing
fixings': fix,fixing
fixing's: fix,fixing
flabbergasting's: flabbergasted,flabbergasting
flacking's: flack,flacking
flaggings: flags,flagging
flaggings': flags,flagging
flagging's: flags,flagging
flailing's: flail,flailing
flaking's: flaked,flaking
flanking's: flank,flanking
flapping's: flap,flapping
flaring's: flare,flaring
flattering's: flattered,flattering
flatting's: flats,flatting
flaunting's: flaunt,flaunting
flavorings: flavors,flavoring
flavorings': flavors,flavoring
flavoring's: flavors,flavoring
flavourings: flavors,flavoring
flavourings': flavors,flavoring
flavouring's: flavors,flavoring
flawing's: flaw,flawing
flaying's: flayed,flaying
flecking's: fleck,flecking
fleecing's: fleeced,fleecing
flexing's: flex,flexing
flickering's: flickers,flickering
flicking's: flick,flicking
flighting's: flights,flighting
flinging's: flings,flinging
flinching's: flinched,flinching
flinting's: flint,flinting
flitting's: flit,flitting
floating's: floats,floating
floorings: floors,flooring
floorings': floors,flooring
flooring's: floors,flooring
flopping's: flop,flopping
flouring's: flour,flouring
flourishing's: flourish,flourishing
flowerings: flowered,flowering
flowerings': flowered,flowering
flowering's: flowered,flowering
flowers's: flowered,flowers
fluing's: flu,fluing
flunking's: flunk,flunking
flurrying's: flurry,flurrying
flushing's: flushed,flushing
flutings: flute,fluting
flutings': flute,fluting
fluting's: flute,fluting
fluttering's: flutters,fluttering
flying's: flown,flying
foaming's: foam,foaming
fogging's: fog,fogging
folding's: folded,folding
followings: follows,following
followings': follows,following
following's: follows,following
fondling's: fondle,fondling
fooling's: fool,fooling
footings: feet,footing
footings': feet,footing
footing's: feet,footing
forecasting's: forecast,forecasting
foreclosing's: foreclose,foreclosing
foreseeing's: foresaw,foreseeing
foresting's: forests,foresting
foretelling's: foretell,foretelling
forfeiting's: forfeit,forfeiting
forgetting's: forgets,forgetting
forgings: forged,forging
forgings': forged,forging
forging's: forged,forging
forgiving's: forgave,forgiving
forjusting's: forjust,forjusting
forking's: forks,forking
formulating's: formulated,formulating
fornicating's: fornicate,fornicating
forsaking's: forsaken,forsaking
fortressing's: fortresses,fortressing
fortuning's: fortunes,fortuning
forwarding's: forwards,forwarding
fossilising's: fossilized,fossilising
fossilizing's: fossilized,fossilising
fostering's: fostered,fostering
fouling's: fouls,fouling
foundering's: founder,foundering
fountaining's: fountain,fountaining
fourths': fours,fourth
frackings: frack,fracking
frackings': frack,fracking
fracking's: frack,fracking
fractioning's: fraction,fractioning
fracturing's: fractured,fracturing
fragmenting's: fragment,fragmenting
framings: frames,framing
framings': frames,framing
framing's: frames,framing
franchising's: franchise,franchising
frasers's: fraser,frasers
freaking's: freaked,freaking
freeing's: freed,freeing
freezing's: froze,freezing
freighting's: freight,freighting
frenzying's: frenzy,frenzying
frequenting's: frequent,frequenting
frescoing's: frescoes,frescoing
freshening's: freshen,freshening
fretting's: fret,fretting
frickinning's: frickin,frickinning
frickins's: frickin,frickins
friezas's: frieza,friezas
friggins's: friggin,friggins
frighting's: fright,frighting
frillings: frills,frilling
frillings': frills,frilling
frilling's: frills,frilling
fringing's: fringe,fringing
frittering's: fritter,frittering
frogging's: frogs,frogging
frohiking's: frohike,frohiking
frolicking's: frolic,frolicking
frostings: frost,frosting
frostings': frost,frosting
frosting's: frost,frosting
frothing's: froth,frothing
frowning's: frown,frowning
fruiting's: fruits,fruiting
frustrating's: frustrated,frustrating
fucking's: fucks,fucking
fudging's: fudge,fudging
fumbling's: fumble,fumbling
fuming's: fumes,fuming
funding's: funds,funding
funking's: funk,funking
furring's: fur,furring
furthering's: farther,furthering
fusing's: fuse,fusing
fussing's: fusses,fussing
gaggling's: gaggle,gaggling
gaging's: gauge,gaging
gaining's: gains,gaining
gallanting's: gallant,gallanting
galloping's: galloped,galloping
gambling's: gamble,gambling
ganging's: gangs,ganging
gaping's: gape,gaping
gapping's: gap,gapping
garding's: gard,garding
garlanding's: garland,garlanding
garmenting's: garment,garmenting
garrisoning's: garrison,garrisoning
gasping's: gasp,gasping
gassings: gases,gassing
gassings': gases,gassing
gassing's: gases,gassing
gauging's: gauge,gaging
gavelling's: gavel,gaveling
gaydare: gaydar,gaydared
gaydares: gaydar,gaydared
gaydares': gaydar,gaydared
gaydare's: gaydar,gaydared
gaydares's: gaydar,gaydared,gaydares
gaydaring's: gaydar,gaydaring
gaydarkas: gaydar,gaydarka
gaydarkas': gaydar,gaydarka
gazing's: gaze,gazing
gearings: gears,gearing
gearings': gears,gearing
gearing's: gears,gearing
gelling's: gel,gelling
gemming's: gem,gemming
gendering's: gender,gendering
generating's: generate,generating
genning's: gen,genning
geppetties: geppetto,geppetti
geppetties': geppetto,geppetti
geppettoing's: geppetto,geppettoing
geppettos's: geppetto,geppettos
gering's: ger,gering
gers's: ger,gers
gesturing's: gestures,gesturing
getting's: get,getting
giddying's: giddy,giddying
gifting's: gifted,gifting
gigging's: gigs,gigging
giggling's: giggle,giggling
gilmores's: gilmore,gilmores
gingering's: ginger,gingering
ginning's: gin,ginning
gis's: gi,gis
giving's: give,giving
glamming's: glam,glamming
glancing's: glance,glancing
gleaming's: gleam,gleaming
glimpsing's: glimpse,glimpsing
glinting's: glint,glinting
glistening's: glisten,glistening
glittering's: glitter,glittering
glitzing's: glitz,glitzing
globing's: globe,globing
gloving's: glove,gloving
glowing's: glow,glowing
glugging's: glug,glugging
gluing's: glued,gluing
glutings: glutes,gluting
glutings': glutes,gluting
gluting's: glutes,gluting
gnawing's: gnawed,gnawing
goaling's: goals,goaling
gobbering's: gobber,gobbering
gobbing's: gob,gobbing
gobbling's: gobbled,gobbling
godfathering's: godfather,godfathering
godmothering's: godmother,godmothering
goemons's: goemon,goemons
goggling's: goggles,goggling
goings: go,going
goings': go,going
going's: go,going
gollying's: golly,gollying
gonging's: gong,gonging
goning's: gon,goning
göork: göring,görought
göorked: göring,görought
göorking: göring,görought
göorks: göring,görought
göorks': göring,görought
göork's: göring,görought
gooses': geese,gooses
goosing's: geese,goosing
göranged: göring,görang
göranging: göring,görang
görangs: göring,görang
görangs': göring,görang
görang's: göring,görang
göringe: göring,göringed
göringes: göring,göringed
göringes': göring,göringed
göringe's: göring,göringed
göringings: göring,göringing
göringings': göring,göringing
göringing's: göring,göringing
goring's: gored,goring
görings's: göring,görings
göroughts: göring,görought
göroughts': göring,görought
görought's: göring,görought
görungs: göring,görung
görungs': göring,görung
görung's: göring,görung
gossiping's: gossips,gossiping
gottides: gotti,gottis
gottides': gotti,gottis
gottises: gotti,gottis
gottises': gotti,gottis
gottis's: gotti,gottis
gouging's: gouged,gouging
governing's: govern,governing
gowning's: gown,gowning
gowrone: gowron,gowroned
gowroner: gowron,gowroned
gowroner's: gowron,gowroned
gowrones: gowron,gowroned
gowrones': gowron,gowroned
gowrone's: gowron,gowroned
gowroni: gowron,gowroned
gowronings: gowron,gowroning
gowronings': gowron,gowroning
gowroning's: gowron,gowroning
gowroni's: gowron,gowroned
gowrons's: gowron,gowrons
grading's: grades,grading
grafting's: grafts,grafting
graining's: grains,graining
grandstanding's: grandstand,grandstanding
granting's: grants,granting
grappling's: grapple,grappling
grasping's: grasp,grasping
gratifying's: gratified,gratifying
gratings: grated,grating
gratings': grated,grating
grating's: grated,grating
gravelling's: gravel,graveling
graving's: graves,graving
grazing's: grazed,grazing
greasing's: grease,greasing
greenings: greens,greening
greenings': greens,greening
greening's: greens,greening
greetings: greeted,greeting
greetings': greeted,greeting
greeting's: greeted,greeting
gridding's: grid,gridding
grifting's: grift,grifting
grille: grilled,grill
grilles: grilled,grill
grilles': grilled,grill
grille's: grilled,grill
grilling's: grilled,grilling
grimacing's: grimace,grimacing
grinning's: grin,grinning
gripes's: gripe,gripes
griping's: gripe,griping
gript: gripping,gripped
gris': ger,gri's
groaning's: groan,groaning
gromiting's: gromit,gromiting
gromitting's: gromit,gromitting
grooming's: groomed,grooming
grooving's: groove,grooving
groping's: grope,groping
groundings: grounded,grounding
groundings': grounded,grounding
grounding's: grounded,grounding
grovelling's: grovel,groveling
growing's: growed,growing
growling's: growl,growling
grubbing's: grub,grubbing
grudging's: grudge,grudging
grumbling's: grumble,grumbling
grunting's: grunt,grunting
guaranteeing's: guarantees,guaranteeing
guessing's: guessed,guessing
guiding's: guided,guiding
guillotining's: guillotine,guillotining
gulfing's: gulf,gulfing
gumshoeing's: gumshoe,gumshoeing
gunning's: gun,gunning
gutsed: gutting,guts
gutses: gutting,guts
gutsing: gutting,guts
guttering's: gutter,guttering
guzzling's: guzzle,guzzling
gwanging's: gwang,gwanging
habbing's: hab,habbing
habiting's: habits,habiting
hackneying's: hackney,hackneying
haggling's: haggle,haggling
haiing's: hai,haiing
hailing's: hailed,hailing
hais's: hai,hais
håkans's: håkan,håkans
halfords's: halford,halfords
haling's: hale,haling
halloaing's: hallo,halloaing
halloing's: hallo,halloaing
hallooing's: hallo,halloaing
hallowing's: hallowed,hallowing
haloing's: halo,haloing
hals's: hal,hals
haltering's: halter,haltering
halvorsening's: halvorsen,halvorsening
halvorsens's: halvorsen,halvorsens
handcrafting's: handcrafted,handcrafting
handcuffing's: handcuffed,handcuffing
handicapping's: handicapped,handicapping
handicraft: handcrafted,handcrafts
handicrafts: handcrafted,handcrafts
handicrafts': handcrafted,handcrafts
handicraft's: handcrafted,handcrafts
handjobbing's: handjob,handjobbing
handlings: handles,handling
handlings': handles,handling
handling's: handles,handling
hand-written: handwriting,handwritten
hannlbale: hannlbal,hannlbaled
hannlbales: hannlbal,hannlbaled
hannlbales': hannlbal,hannlbaled
hannlbale's: hannlbal,hannlbaled
hannlbaling's: hannlbal,hannlbaling
hannlball: hannlbal,hannlballed
hannlballing's: hannlbal,hannlballing
hannlballs: hannlbal,hannlballed
hannlballs': hannlbal,hannlballed
hannlball's: hannlbal,hannlballed
happenings: happened,happening
happenings': happened,happening
happening's: happened,happening
harboring's: harbors,harbouring
harbouring's: harbors,harbouring
hard: hardcore,hard-core
hardenings: hardens,hardening
hardenings': hardens,hardening
hardening's: hardens,hardening
hardsubbing's: hardsub,hardsubbing
harf: harve,harves
harfed: harve,harves
harfing: harve,harves
harfs: harve,harves
harfs': harve,harves
harf's: harve,harves
haring's: hare,haring
harkening's: harken,harkening
harming's: harmed,harming
harnessing's: harness,harnessing
harpings: harp,harping
harpings': harp,harping
harping's: harp,harping
harrowing's: harrow,harrowing
harvestings: harvests,harvesting
harvestings': harvests,harvesting
harvesting's: harvests,harvesting
hashing's: hash,hashing
hassling's: hassle,hassling
hasting's: haste,hasting
hatchings: hatch,hatching
hatchings': hatch,hatching
hatching's: hatch,hatching
hatting's: hats,hatting
havas's: hava,havas
havening's: havens,havening
having's: haves,having
havocking's: havoc,havocking
hawking's: hawks,hawking
hayatis: hayato,hayati's
hayatis': hayato,hayati's
hayatos's: hayato,hayatos
hayatus: hayato,hayati's
hayatus': hayato,hayati's
hayatuses: hayato,hayati's
hayatuses': hayato,hayati's
hayatus's: hayato,hayati's
haying's: hay,haying
hays's: hay,hays
hazarding's: hazard,hazarding
headings: head,heading
headings': head,heading
heading's: head,heading
headlining's: headlines,headlining
headquarters': headquarter,headquarters
heaping's: heap,heaping
hearings: hears,hearing
hearings': hears,hearing
hearing's: hears,hearing
