abarque: abarca,abarques
multiplique: multiplica,multipliques
multo: multes,multos
mundiale: mundials,mundiales
munte: munt,munta
musicale: musicals,musicales
musique: music,musiques
mutante: mutant,mutantes
mute: mudes,muta
nande: nanda,nandes
narrative: narrativa,narratives
native: natiu,natives
naturale: naturals,naturales
nave: nava,naves
navegante: navegant,navegantes
navegue: navega,navegues
necessitate: necessitada,necessitates
nefasto: nefast,nefastos
negador: negadores,negadora
negative: negatius,negatives
negrete: negret,negreta
negue: nega,negues
neixe: neix,neixes
nelle: nell,nella
neste: nest,nesta
neto: nets,netos
nie: nia,nies
nig: nica,niga
nique: nica,niques
nó: non,nona
nocturn: nocturnes,nocturna
noie: noi,noies
nomenare: nomenar,nomenara
normative: normativa,normatives
norueg: noruec,noruegues
noruegs: noruec,noruegues
nové: novè,novena
nug: nuca,nuga
obe: ob,obes
obediente: obedients,obedientes
objective: objectiva,objectives
oblic: obligues,oblics
oblig: obligues,obliga
obririe: obriria,obriries
obscé: obscè,obscena
obscure: obscur,obscura
obsessive: obsessius,obsessives
obsolete: obsolets,obsoleta
obtingue: obtinga,obtingues
occidentale: occidental,occidentala
occidente: occident,occidenta
oculte: ocults,oculta
ocupante: ocupants,ocupantes
ode: oda,odes
ofec: ofegues,ofega
oferie: oferia,oferies
oïde: oïda,oïdes
oliu: olives,oliva
olore: olors,olora
ome: oms,oma
omnisciente: omniscient,omniscientes
omplene: omplen,omplena
onte: ont,onta
operate: operat,operates
operative: operatius,operatives
operato: operat,operatos
ops: ope,opa
optare: optar,optara
oque: oca,oques
orale: oral,orales
orb: orbe,orba,orbs
òrbit: òrbites,òrbita
orbs: orbe,orba
ordenadore: ordenador,ordenadora
ore: or,ora
org: orgues,orga
orgà: organ,organs
organitze: organitza,organitzes
orientale: orientals,orientales
oriente: orient,orientes
origen: orígens,orígenes
originale: originals,originales
orque: orc,orques
ortodoxo: ortodox,ortodoxos
ot: ota,ots
pacto: pacte,pactes,pactos
pactos: pacte,pactes
pag: paca,pagues,pags
pags: paca,pagues
pague: paca,pagues
paie: pais,paies
pal: pala,pals
palés: palès,palesa
palet: paletes,palets
paleto: paletes,paletos
palissade: palissada,palissades
pande: panda,pandes
panteixo: panteixa,panteixos
paperer: papereres,paperera
paps: pape,papa
paque: paca,paques
paquete: paquets,paquetes
paraís: paraiso,paraisos
parar: par,para
parcele: parcel,parcela
paré: paren,parens
parede: pared,paredes
parent: parenta,parents
parlada: parlar,parlat
parlades: parlar,parlat
parlamento: parlaments,parlamentos
parlante: parlant,parlantes
parlare: parlar,parlara
parlata: parlar,parlat
parlats: parlar,parlat
parlau: parlaves,parlava
parlere: parler,parlera
paro: par,para
parque: parcs,parques
parses: par,pars
parteixes: parteixen,parteix
particip: participo,participa,particips
participada: participo,participat
participades: participo,participat
participante: participant,participantes
participats: participo,participat
partícipe: partícip,partícipes
participe: participo,participa
participes: participo,participa
particips: participo,participa
partite: partides,partita
parto: part,partos
pasaporte: pasaport,pasaportes
pasare: pasar,pasara
passau: passaves,passava
passeig: passeges,passeja
passejo: passeges,passejos
passerelle: passerell,passerella
passive: passiu,passives
past: pastes,pasts
pastore: pastors,pastora
pateixe: pateix,pateixes
patente: patents,patenta
patja: patge,patges
pato: pat,patos
patró: patrò,patrons
pave: pau,paves
pavimento: paviment,pavimentos
pec: pegues,peca
pedante: pedant,pedantes
pedrer: pedreres,pedrera
peg: pegues,pega
peixater: peixateres,peixatera
penale: penal,penales
penetrante: penetrant,penetrantes
pensada: pensar,pensat
pensades: pensar,pensat
pensats: pensar,pensat
pensave: pensava,pensaves
peque: pegues,peques
perde: perda,perdes
perdere: perder,perdera
perdie: perdia,perdies
perdó: perdone,perdones
perdons: perdone,perdones
perfil: perfiles,perfila
perfume: perfum,perfuma
periods: periode,periodes
perito: perits,peritos
perjudique: perjudica,perjudiques
permanente: permanents,permanentes
permete: permets,permeta
permite: permit,permita
perplexe: perplexa,perplexes
persistente: persistents,persistentes
persuasive: persuasiva,persuasives
pertanye: pertanys,pertanya
pertinente: pertinents,pertinentes
perverse: pervers,perverses
perverso: pervers,perversos
perxe: perxa,perxes
pet: peta,pets
petate: petada,petates
petisos: peti,petis
petitíssim: petitíssimes,petitíssima
peto: peta,petos
petó: petò,petons
pí: pin,pina
pic: piques,pics
pijo: pija,pijos
pill: pilles,pills
pillare: pillar,pillara
pime: pim,pimes
pint: pintes,pints
piquete: piquets,piqueta
pirate: pirada,pirates
pix: pixes,pixa
plà: plan,plana
plac: plagues,placa
plaça: place,places
plaço: plaç,plaços
plag: plagues,plaga
planeig: planeges,planeja
plante: plant,planta
plaque: plagues,plaques
pleg: plec,plega
plegue: plec,plegues
ples: plan,plana
plore: plors,plora
pó: pon,pons
podens: puc,poden
podersos: puc,poders
podie: puc,podia,podies
podies: puc,podia
podrie: podria,podries
poem: poemes,poema
poesie: poesia,poesies
poet: poetes,poeta
poètique: poètica,poètiques
poguda: puc,pogut
pogudes: puc,pogut
poguts: puc,pogut
pole: pol,pola
polite: polit,polita
polític: polítiques,política
politique: politic,politiques
poll: polles,polls
polonés: polonès,polonesos
pome: pom,pomes
poné: ponen,ponens
pones: pon,pons
pore: por,pora
portau: portaves,portava
porto: ports,porta
portugués: portuguès,portuguesos
possare: possar,possara
posse: possa,posses
postale: postal,postales
poste: post,posta
postmodern: postmoderna,postmoderns
posto: post,postos
pòstum: pòstumes,pòstuma
potente: potents,potenta
practic: practiques,practica
pràctique: pràctics,pràctiques
precedente: precedents,precedentes
preferente: preferent,preferentes
preferire: preferir,preferira
pregó: pregon,pregona
pregunts: pregunte,pregunta
preme: prem,prema
premie: premia,premies
prenie: prenia,prenies
preocupante: preocupant,preocupantes
prepotente: prepotent,prepotentes
prés: près,presos
presencie: presencia,presencies
presentadore: presentador,presentadora
presente: presents,presentes
presidente: presidents,presidenta
presoner: presoneres,presonera
presse: pressa,presses
pressuposte: pressupostos,pressuposta
pretés: pretès,pretesa
preventive: preventiva,preventives
previst: previstos,prevists
previste: previstos,prevista
primate: primats,primates
primaver: primaveres,primavera
prime: prims,prima
primitive: primitiva,primitives
principale: principals,principales
problem: problema,problems
procedente: procedent,procedentes
productive: productiva,productives
produire: produir,produira
profe: prof,profa
professor: professora,professors
profund: profundes,profunds
progrés: progrès,progressos
progresse: progressa,progresses
progressive: progressiva,progressives
promete: promets,prometa
prometie: prometia,prometies
prominente: prominents,prominentes
pronuncie: pronuncia,pronuncies
propagande: propaganda,propagandes
prosper: prospera,prospers
protestante: protestant,protestantes
prove: prou,proves
provoque: provoca,provoques
prudente: prudent,prudenta
psicològic: psicològiques,psicològics
publicare: publicar,publicara
publique: public,publiques
pued: puede,puedes,pueda
pueda: puede,puedes
pug: pugues,puga
puguis: puc,pugui
puig: puges,puja
punte: punt,puntes
punto: punt,puntos
punxe: punxa,punxes
pure: purs,pures
qualifique: qualifica,qualifiques
qualssevols: qualsevol,qualssevol
quante: quant,quantes
quanto: quant,quantos
quart: quartes,quarta
quarto: quartes,quartos
quedada: quedara,quedat
quedades: quedara,quedat
quedar: quedara,queda
quedats: quedara,quedat
quedau: quedaves,quedava
quedos: quedara,quedo
queè: queen,queens
quei: queies,queia
queix: queixes,queixa
queixare: queixar,queixara
queme: quem,quema
quets: quete,queta
quie: qui,quies
quieto: quieta,quietos
quinto: quinta,quintos
quiosco: quiosc,quioscos
quite: quit,quita
rà: ran,rana
radicale: radicals,radicales
radioactive: radioactiu,radioactives
rafe: raf,rafa
rajo: raigs,rajos
rajol: rajoles,rajola
rame: ram,rama
ranxer: ranxeres,ranxera
rape: rap,rapa
ràpid: ràpides,ràpids
rare: rar,rares
ré: ren,rens
reaccionàrie: reaccionària,reaccionàries
realitza: realitzats,realitzat
realitzar: realitzats,realitzat
realitzo: realitzats,realitzat
rebaix: rebaixes,rebaixa
recerque: recerca,recerques
recollie: recollia,recollies
record: recorde,recordes,records
recorda: recorde,recordes
records: recorde,recordes
recto: recta,rectos
rectore: rector,rectora
recurrente: recurrent,recurrentes
recurso: recurs,recursos
rede: red,redes
refie: refia,refies
reforço: reforç,reforços
reform: reformes,reforms
refrede: refreda,refredes
refresco: refrescs,refrescos
refresque: refresca,refresques
refugie: refugia,refugies
reg: reca,rega
regente: regent,regenta
regionale: regional,regionala
reglamento: reglament,reglamentos
regs: reca,rega
regue: reca,regues
regusto: regust,regustos
rel: rela,rels
relat: relata,relats
relative: relatius,relatives
relato: relata,relatos
remolque: remolc,remolques
remote: remots,remota
remoto: remots,remotos
renovare: renovar,renovara
renove: renous,renoves
repasse: repassa,repasses
repe: reps,repa
repetire: repetir,repetires
reporte: report,reporta
représ: reprès,represes
represent: representes,represents
representante: representants,representantes
representate: representats,representates
representative: representativa,representatives
repugnante: repugnants,repugnantes
repulse: repulsa,repulses
repulsive: repulsius,repulsives
rescat: rescata,rescats
respectare: respectar,respectara
respective: respectius,respectives
respiratorie: respiratoria,respiratories
respongue: responga,respongues
respós: respòs,resposes
resposte: respost,resposta
ressó: ressò,ressona
restante: restants,restantes
restrictive: restrictiva,restrictives
result: resultes,results
resultante: resultant,resultantes
resultar: resultes,resulta,resultat
resultat: resultes,resulta
resultata: resultes,resulta,resultat
resultats: resultes,resulta,resultat
resulto: resultes,resulta
resume: resum,resumes
reta: reto,retos
retarde: retard,retardes
retes: reto,retos
reticente: reticent,reticentes
retire: retir,retira
retòric: retòriques,retòrica
retorn: retorna,retorns
retrate: retrat,retrata
retrete: retret,retreta
retrospective: retrospectiva,retrospectives
rets: reto,retos
reverse: revers,reverses
reverso: revers,reversos
revise: revisa,revises
revolto: revoltes,revoltos
rib: ribes,ribs
rim: rimes,rims
rinoceronte: rinoceronts,rinocerontes
rit: rita,rides
rito: rita,ritos
robusto: robust,robustos
rode: rod,rodes
rodete: rodet,rodeta
roig: roges,roigs
rojo: roges,rojos
role: rols,rola
rome: rom,roma
rond: rondes,ronda
roque: rocs,roques
rug: rucs,ruga
rumore: rumor,rumores
rurale: rurals,rurales
rús: ruse,ruses
rusa: ruse,ruses
rusos: ruse,ruses
russos: ruse,ruses
rústique: rústic,rústiques
sab: sabes,sabs
saber: sabera,sé
sabie: sabia,sabies
sacrifique: sacrifica,sacrifiques
saig: sage,sages
saigs: sage,sages
sale: sals,sales
salt: saltes,salts
salute: saludes,saluta
salvare: salvar,salvara
saqueig: saquejos,saqueja
seconde: second,secondes
secrete: secret,secretes
secreto: secret,secretos
sede: seda,sedes
segmento: segments,segmentos
segueixe: segueix,segueixes
sei: seies,seia
sele: sel,sela
select: selecte,selecta,selects
selective: selectiva,selectives
selecto: selecte,selecta,selectos
selectos: selecte,selecta
selects: selecte,selecta
sell: sella,sells
semblada: semblo,semblat
semblades: semblo,semblat
semblats: semblo,semblat
semblave: semblava,semblaves
seme: sem,sema
sende: senda,sendes
senser: senseres,sensera
sente: sent,senta
sentí: sentin,sentina
sentir: sentida,sentit
sentira: sentida,sentit
sentire: sentida,sentit,sentira
sentires: sentida,sentit
sentirs: sentida,sentit
senyore: senyor,senyora
separate: separada,separata
seque: seca,seques
sequer: sequera,sequers
series: sers,seria
serrador: serradores,serradora
serve: serva,serves
servent: serventes,servents
seté: setè,setena
seule: seul,seules
seve: seu,seves
severe: severs,severa
sexo: sex,sexos
sient: sienta,sients
signific: signifiques,significa
siguia: sers,sigui
siguis: sers,sigui
simpatitze: simpatitza,simpatitzes
sincere: sincers,sinceres
sisé: sisè,sisena
sistem: sistemes,sistems
sit: sid,sida
sita: sid,sida
site: sid,sida,sita
sites: sid,sida
sits: sid,sida
situate: situades,situata
sobrevive: sobrevius,sobrevives
sociologie: sociologia,sociologies
sog: soca,soga
sole: sol,sola
soma: sers,som
some: sers,som,soma
somes: sers,som
somnie: somnia,somnies
soms: sers,som
soneto: sonets,sonetos
sonore: sonor,sonora
sóns: sers,són
sorte: sorts,sorta
sortire: sortir,sortira
sospitós: sospitòs,sospitosa
sote: sots,sota
sotmés: sotmès,sotmesos
stare: stars,stara
ste: st,sta
stripe: strip,stripes
súbdito: súbdit,súbditos
sube: subs,suba
sublime: sublim,sublima
sucés: sucesso,sucessos
sucesos: sucesso,sucessos
sue: sua,sues
suene: suen,suena
suits: suite,suites
sum: suma,sums
super: supera,supers
superbe: superb,superba
superiore: superiors,superiora
suplente: suplent,suplenta
suporte: suports,suporta
suque: suc,suques
sure: sur,sura
suso: su,sus,susos
susos: su,sus
tabe: tab,taba
tailandés: tailandès,tailandesa
talle: talls,talles
tame: tam,tama
tanc: tanques,tanca
tangente: tangent,tangentes
tante: tant,tanta
tape: tap,tapes
tarda: tarde,tardes
tardare: tardar,tardara
tards: tarde,tardes
tarif: tarifes,tarifa
tarjet: tarjetes,tarjeta
tats: tate,tata
teatrale: teatral,teatrales
tècnique: tècnic,tècniques
teie: teia,teies
telegram: telegrames,telegrama
teme: tems,tema
tenens: tinc,tenen
tenie: tinc,tenia,tenies
tenies: tinc,tenia
tenims: tinc,tenim
tentative: tentativa,tentatives
tèrbol: tèrboles,tèrbola
tere: ter,tera
terminale: terminal,terminales
terminologie: terminologia,terminologies
terrós: terròs,terrossos
testamento: testament,testamentos
testo: tests,testos
teve: teu,teves
text: textos,texts
texte: textos,texta
tí: tin,tina
tie: tia,ties
tiesos: tia,ties
tig: tics,tiga
tigue: tics,tigues
timbale: timbals,timbales
tímit: tímids,tímides
tímits: tímids,tímides
tinguda: tinc,tingut
tingudes: tinc,tingut
tinguts: tinc,tingut
tipe: tips,tipa
tique: tics,tiques
tire: tirs,tires
tocave: tocava,tocaves
tode: toda,todes
tog: tocs,toga
tolerante: tolerant,toleranta
tolle: toll,tolles
tope: top,topa
tornada: tornar,tornat
tornades: tornar,tornat
tornats: tornar,tornat
torrente: torrent,torrentes
torso: tors,torsos
tosco: tosc,toscos
tote: tot,tota
toute: tout,toutes
trada: trade,trades
trads: trade,trades
traduire: traduir,traduira
trafique: trafica,trafiques
trague: traga,tragues
trame: trams,trama
tranquile: tranquil,tranquila
transform: transformes,transforms
transite: transit,transita
transmés: transmès,transmesa
transparente: transparent,transparenta
transporte: transports,transporta
trast: trastos,trasts
traste: trastos,trasta
trat: trade,trades
trata: trade,trades
trates: trade,trades
tratos: trade,trades
trats: trade,trades
trau: traves,traus
treballos: treballar,treballo
tretzé: tretzè,tretzena
tríade: tríada,tríades
tribute: tribut,tributa
tributo: tribut,tributos
trigare: trigar,trigara
trobau: trobaves,trobava
trossos: tro,tros
trou: troves,trous
tube: tubs,tuba
tue: tua,tues
ule: ul,ula
ulle: ulls,ulla
ultratja: ultratge,ultratges
unànims: unànime,unànima
unic: unique,uniques,unica
unica: unique,uniques
unics: unique,uniques
unite: unida,unita
universale: universal,universala
universe: universos,universes
urgente: urgents,urgentes
urn: urnes,urna
usave: usava,usaves
ute: ut,utes
utile: utils,utila
vacante: vacant,vacantes
vag: vagues,vaga
vaigues: vaig,vaiga
valdrie: valdria,valdries
valent: valentes,valenta
valgue: valga,valgues
validate: validats,validates
valie: valia,valies
valle: valls,valla
vals: valdre,val
vampir: vampira,vampirs
vaque: vagues,vaques
variante: variant,varianta
vàs: vas,vasos
vasa: vas,vasos
vases: vas,vasos
vassos: vas,vasos
vaste: vastos,vasta
vé: vene,vena
vegade: vegada,vegades
veie: vei,veies
veigues: veges,veiga
veïne: veins,veïnes
vele: vel,vela
venie: venia,venies
vens: vene,vena
vento: venta,ventos
verbale: verbal,verbales
verbe: verb,verba
vere: ver,veres
veré: veren,verena
verifique: verifica,verifiques
vermelle: vermells,vermelles
vertígen: vertigen,vertígens
ves: venir,ve
vestie: vestia,vesties
vestiment: vestimentes,vestimenta
vete: vet,veta
veto: vet,vetos
vibrante: vibrant,vibrantes
victim: victima,victims
víctim: víctimes,víctima
vidrio: vidriosos,vidrios
vigente: vigents,vigentes
vinca: venir,vinc
viol: violes,viols
violent: violentes,violents
violento: violentes,violentos
visitante: visitant,visitantes
visto: vistes,vistos
visuale: visual,visuales
visualitze: visualitza,visualitzes
vivie: vivia,vivies
vó: von,vona
voca: vogue,vogues
vocale: vocal,vocales
voga: vogue,vogues
vole: vols,voles
volens: vull,volen
voleva: vull,voleu
volguda: vull,volgut
volgudes: vull,volgut
volguts: vull,volgut
volie: vull,volia,volies
volies: vull,volia
volt: volta,volts
volume: volums,volumes
vorer: voreres,vorera
vors: vore,vores
votante: votants,votantes
vulgare: vulgar,vulgares
vulgue: vulga,vulgues
wale: wal,wala
wé: wen,wens
xafardejo: xafardeig,xafardejos
xamà: xaman,xamans
xicot: xicotes,xicota
xicotete: xicotet,xicoteta
xinxe: xinxa,xinxes
xiquet: xiquetes,xiquets
xiuxiueig: xiuxiuejos,xiuxiueja
xocolat: xocolates,xocolada
xulet: xuletes,xuleta
xup: xupes,xupa
xute: xut,xuta
zé: zen,zena
